JobTile,Company,Location,PostDate,ExtractDate,Summary,Salary,JobURL
"Software Engineer, Back-End (Machine Learning)","Grammarly, Inc.","Vancouver, BC",30+ days ago,09/01/2021,"Is comfortable with data warehousing, data pipelines, ETL, best practices for moving data around, and real-time vs. offline compute options.",,https://ca.indeed.com/rc/clk?jk=edb5b13fbe8afde2&fccid=0555014e7bce64c3&vjs=3
"Associate Scientist, Machine Learning for Protein Design",Zymeworks,"Vancouver, BC",30+ days ago,09/01/2021,Leverage public databases and Zymeworks’ proprietary data as well as in-house computational infrastructure to develop scalable tools and automated workflows for…,,https://ca.indeed.com/rc/clk?jk=e8fe10d714bc82dd&fccid=e4d981a808c200d8&vjs=3
"Software Engineer, Machine Learning","Grammarly, Inc.","Vancouver, BC",30+ days ago,09/01/2021,Understands data structures and algorithms at a level sufficient to write performant code when working with large datasets or large incoming data streams.,,https://ca.indeed.com/rc/clk?jk=f80332a750e44adf&fccid=0555014e7bce64c3&vjs=3
Lead Data Scientist - RACE21,Teck Resources Limited,"Vancouver, BC",30+ days ago,09/01/2021,"Strong interpersonal skills and previous experience coaching and mentoring data scientists.
Provide expert guidance on Teck’s data, systems and environment to…",,https://ca.indeed.com/rc/clk?jk=2b8e32e32a1ae29b&fccid=33dfaa8965cf2bf4&vjs=3
Machine Learning Geoscientist,DATACLOUD,"Vancouver, BC",30+ days ago,09/01/2021,"Study and transform data science prototypes for the geoscience specific data streams.
Select appropriate datasets and data representation methods.",,https://ca.indeed.com/rc/clk?jk=8df82cc31dac25bd&fccid=c101d2f34386322e&vjs=3
Senior Data Analyst,Brunel,"Vancouver, BC",30+ days ago,09/01/2021,"Assists in building and maintaining data and data cleanup exercises.
Builds data set requirements, metrics, data/report definitions and establishes reporting…",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_71Ak7_QemnWrY8Cl22B58NowcISnz2ysQEA8DE9BVrxGtC8uBt4e0XAownkkhkYDYlnDcFaYjhhy70EzhRJRSeMNQrQhc3ozTveo36iVmn3kEUj9SJN-ghse4TJOqKBVz7jLkmKfJrZw9Zg6XkJdrlzicYFbwN0e7az5ZpbFFf-0Sfx4deWCcNU9_-8-VbTwm6ToHb8_tmtjIDCoQoDPtOC4HRLH8KPeltz2kD9X3UbS10-kdETklxqWGu5LA6IJ1UcUJev3ibqFquwpghxy_cUFYHERT-tva4IjSc5zqMX3oyDOF-r838E3A-ybTUCZcdDzu9Rg6GdLfpT7xNSe9VGP6wqS-MtghbHJpFOyjeL1m19L4kFDoD5-Y2g_EJhoHDjG6KrymxhAIWJVSdkLDNBKSwfj7Cezdhmtxflcq_BoRzDUW1-R1ZDDm-SipdXEfZH86MOSJToprAvj30VPqxll9BSrztKoz-1tHsPzhHEHBFnJQDUnQj1P0CtDOYRG73Up5ZRpEVKnvRxVFVk8PHv_97aVLuWxnVW95zbTI1STZ3W-VvLpzmA2MrLi-U43ld3N098Ypk3exB5YtSsj8-_Nxpt42Xt8nSonpGYdN44LF1B04oHV6wP3REYz5VTcEAD4t1PVBO3ZZkCGylTpuxey3u6qK98Zp1yqi_hC_pW9oiR9h_8a&p=10&fvj=0&vjs=3
"Senior Developer, Analytics and Machine Learning",Global Relay,"Vancouver, BC",30+ days ago,09/01/2021,"Experience with design patterns, data structures, algorithms.
As a Senior Developer in the Analytics group you will be building and deploying machine learning…",,https://ca.indeed.com/rc/clk?jk=bafe62782602fad1&fccid=0d3fa1b8c4aea5ad&vjs=3
"Manager, Business Intelligence - AWS Product BI",Amazon Dev Centre Canada ULC,"Vancouver, BC",2 days ago,09/01/2021,Partner with Data engineering team to define the data elements and data structure that the team should leverage to enable analytical capabilities.,,https://ca.indeed.com/rc/clk?jk=c5349b5eb803d6cc&fccid=fe2d21eef233e94a&vjs=3
Machine Learning Developer,Conexiom,"Vancouver, BC",30+ days ago,09/01/2021,As a intermediate or senior developer with Machine Learning or AI background you will be a key member of our development team delivering on the vision for the…,,https://ca.indeed.com/rc/clk?jk=b7d9f4db8f3b9b42&fccid=248e604a1629acaf&vjs=3
Machine Learning Engineer Co-Op - (Masters or PhD student),Electronic Arts,"Vancouver, BC",3 days ago,09/01/2021,"You will promote data culture using practical knowledge.
Familiarity with machine learning, statistical analysis, and data science.",,https://ca.indeed.com/rc/clk?jk=5e8f64cdd660af9c&fccid=617d7f961cfcf54a&vjs=3
Lead Machine Learning Engineer,Patriot One Technologies,"Vancouver, BC",30+ days ago,09/01/2021,Lead other machine learning engineers and data scientists with technical decisions to deploy models to product and integrate them with new or existing services.,,https://ca.indeed.com/rc/clk?jk=9c5baeaca74cec3f&fccid=8377f6e456c2ebfb&vjs=3
Senior Statistician,PHSA,"Vancouver, BC",30+ days ago,09/01/2021,Undertake self-directed analyses of data quality and data validity for the purpose of proposing improvements in data processing and data handling.,,https://ca.indeed.com/rc/clk?jk=09ce7e0ec88e1239&fccid=f66f721a44de3765&vjs=3
Senior Business Intelligence Analyst,Cymax Stores,"Vancouver, BC",30+ days ago,09/01/2021,"Experience with data warehouse concepts and foundations.
Experience with relational and non-relational data sources.",,https://ca.indeed.com/rc/clk?jk=fc6a2b2c0ab87d57&fccid=1d146178a3bad219&vjs=3
Sr. Backend Software Engineer - Machine Learning Team,Splunk,"Vancouver, BC",3 days ago,09/01/2021,"For this role knowledge of data science or ML concepts is not vital, but you must have an understanding of the data science workflow and be passionate about…",,https://ca.indeed.com/rc/clk?jk=64f07a5f27b16ee1&fccid=aef928e89977f7f0&vjs=3
Data Engineer - Machine Learning,Prenuvo Inc,"Vancouver, BC",30+ days ago,09/01/2021,"The data engineer establishes and maintains scalable, reliable, and efficient data pipelines for data inquiry, model implementation & monitoring.",,https://ca.indeed.com/rc/clk?jk=1d08e3bc9c713529&fccid=7cbd0ab047998f20&vjs=3
Machine Learning Engineer,MobSquad,"Vancouver, BC",30+ days ago,09/01/2021,"You have strong attention to detail, translating to strength in data quality verification to enable clean data at all times.",,https://ca.indeed.com/rc/clk?jk=1c8d10cdb6a647f0&fccid=e140fb6d05504c9a&vjs=3
Senior Data Analyst,Brunel,"Vancouver, BC",30+ days ago,09/01/2021,"Assists in building and maintaining data and data cleanup exercises.
Builds data set requirements, metrics, data/report definitions and establishes reporting…",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_71Ak7_QemnWrY8Cl22B58NowcISnz2ysQEA8DE9BVrxGtC8uBt4e0XAownkkhkYDYlnDcFaYjhhy70EzhRJRSeMNQrQhc3ozTveo36iVmn3kEUj9SJN-ghse4TJOqKBVz7jLkmKfJrZw9Zg6XkJdrlzicYFbwN1j5HtwIqeACp2ChoPhj3jiIutU1r4CDQEmT9_wVLmaHv-tu0yXzPB7Exa7Z8lLLT0yJtmoSiBeiZNLgCz15o5AdARuXEvLV8DF9aDWFde1cz5_cFhK-bB8JbXt0b5xuA68riXDM6ala1ReEKjJvvu1NLVVEO-JhHRlALqaQ6b8CZbdE92SHWUHYcAmx-WdwvSCT9tNDZ_8y9vuoXgyy27mqTBnfA7fvN2M6d4rgBZQ4nMpQqtpbQ2UEu3-q6v8JVjxSuxGxV-Ra3fU0Rev9W9sFyMpyfqLb4fQrg1eVPkA8pWLvemiOdcqQr2kZYb66mN4uQUBRiyKThvz5V12QlMS8_1LgrNiPyndTDVnm6qMLhTDedYK_006DQyTJkzDCoop_mPFB1_mGeTSYQO6wRpbUdSuo7HxctRYdCVVkDbJ-yipa341etvKjhfJsxTj8w5epz0DBzqk86zVB11sbEvE6CkDeetdEnvyyXHlQv44TX-qknShq0IEl_0wT0d0ry4sF1lmOum0KidoYI8FxBdU&p=6&fvj=0&vjs=3
3D Machine Learning Engineer,Ziva Dynamics,"Vancouver, BC",30+ days ago,09/01/2021,Ziva is looking for a talented software engineer to implement and deploy cutting-edge machine learning technologies to create state-of-the-art 3D character…,,https://ca.indeed.com/rc/clk?jk=b76d8c58094bfd02&fccid=924e03f8f562987a&vjs=3
Senior Game Data Analyst,Kabam,"Vancouver, BC",30+ days ago,09/01/2021,"Finding answers to business questions via hands-on exploration of data sets using SQL, dashboards, statistical analysis, and data visualizations.",,https://ca.indeed.com/rc/clk?jk=a2b19e4bcc47f97e&fccid=fde47f06a6b44d5e&vjs=3
"Senior Outbound Product Manager, Machine Learning",Workday,"Vancouver, BC",30+ days ago,09/01/2021,"Analytical - Able to review data and synthesize findings.
Problem Solving - thinks about problems from different perspectives and leverages data driven analysis…",,https://ca.indeed.com/rc/clk?jk=0adc9602e5a06eec&fccid=9ac45d217f8342a1&vjs=3
BI/Media Analyst,Noise,"Vancouver, BC",30+ days ago,09/01/2021,"Configuring data sources to share data with web analytics and business intelligence tools.
Identifying opportunities to capture additional user behavior data.",,https://ca.indeed.com/rc/clk?jk=05de0c8b964c4364&fccid=350161138adcccdd&vjs=3
Specialist Business Intelligence Performance Measurement and Reporting,PHSA,"Vancouver, BC",30+ days ago,09/01/2021,"Lead the identification of new data sources and implements data extraction routines from departmental feeder systems.
Job type: Regular Full-Time.",,https://ca.indeed.com/rc/clk?jk=b61f8821ec9c0cda&fccid=f66f721a44de3765&vjs=3
Software Developer (Deep Learning),PDFTron Systems Inc.,"Vancouver, BC",30+ days ago,09/01/2021,"PDFTron is an industry-leading provider of document processing technology that powers everything from traditional desktop software (like AutoCAD), to web apps …",,https://ca.indeed.com/rc/clk?jk=f3a67c55635827cf&fccid=f864beb9a05023bc&vjs=3
Sr Applied Scientist,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",30+ days ago,09/01/2021,"Proven track record in technically leading and mentoring scientists;
Strong CS fundamentals in data structures, problem solving, algorithm design and complexity…",,https://ca.indeed.com/rc/clk?jk=8eb55188e9f92362&fccid=fe2d21eef233e94a&vjs=3
